ts,open,high,low,close,volume,n_trades,vwap
2024-06-03 15:38:20+00:00,194.16,194.16,194.16,194.16,759,8,194.16
2024-06-03 15:38:21+00:00,,,,,0,0,
2024-06-03 15:38:22+00:00,194.17,194.18,194.17,194.18,2568,17,194.17954049844238
2024-06-03 15:38:23+00:00,194.18,194.2,194.18,194.2,2324,21,194.18170395869188
2024-06-03 15:38:24+00:00,,,,,0,0,
2024-06-03 15:38:25+00:00,,,,,0,0,
2024-06-03 15:38:26+00:00,194.18,194.18,194.18,194.18,416,15,194.18
2024-06-03 15:38:27+00:00,194.16,194.16,194.16,194.16,281,8,194.15999999999997
2024-06-03 15:38:28+00:00,194.17,194.17,194.17,194.17,40,4,194.17
2024-06-03 15:38:29+00:00,194.17,194.17,194.16,194.16,232,4,194.1610775862069
2024-06-03 15:38:30+00:00,,,,,0,0,
2024-06-03 15:38:31+00:00,194.17,194.17,194.17,194.17,175,4,194.17
2024-06-03 15:38:32+00:00,,,,,0,0,
2024-06-03 15:38:33+00:00,,,,,0,0,
2024-06-03 15:38:34+00:00,194.18,194.18,194.18,194.18,363,9,194.18000000000004
2024-06-03 15:38:35+00:00,194.18,194.18,194.16,194.16,412,8,194.17004854368932
2024-06-03 15:38:36+00:00,194.15,194.15,194.15,194.15,880,22,194.15
2024-06-03 15:38:37+00:00,194.15,194.15,194.15,194.15,250,3,194.15
2024-06-03 15:38:38+00:00,194.15,194.16,194.15,194.16,300,4,194.15916666666666
2024-06-03 15:38:39+00:00,194.14,194.14,194.14,194.14,504,8,194.14
2024-06-03 15:38:40+00:00,194.15,194.15,194.14,194.14,2011,34,194.14046742913973
2024-06-03 15:38:41+00:00,194.15,194.16,194.15,194.16,1125,17,194.15359999999998
2024-06-03 15:38:42+00:00,194.17,194.19,194.17,194.19,905,17,194.1795690607735
2024-06-03 15:38:43+00:00,,,,,0,0,
2024-06-03 15:38:44+00:00,194.15,194.16,194.15,194.16,215,5,194.15883720930236
2024-06-03 15:38:45+00:00,194.16,194.17,194.16,194.17,157,5,194.16070063694266
2024-06-03 15:38:46+00:00,194.17,194.17,194.16,194.16,154,4,194.16168831168832
2024-06-03 15:38:47+00:00,,,,,0,0,
2024-06-03 15:38:48+00:00,194.16,194.16,194.16,194.16,4,2,194.16
2024-06-03 15:38:49+00:00,,,,,0,0,
2024-06-03 15:38:50+00:00,194.15,194.15,194.15,194.15,506,18,194.14999999999998
2024-06-03 15:38:51+00:00,194.15,194.15,194.15,194.15,155,3,194.15
2024-06-03 15:38:52+00:00,194.15,194.21,194.15,194.21,2154,27,194.18163881151344
2024-06-03 15:38:53+00:00,194.21,194.21,194.205,194.205,508,3,194.20992125984253
2024-06-03 15:38:54+00:00,194.2,194.2,194.2,194.2,842,6,194.2
2024-06-03 15:38:55+00:00,,,,,0,0,
2024-06-03 15:38:56+00:00,,,,,0,0,
2024-06-03 15:38:57+00:00,194.19,194.19,194.18,194.18,173,2,194.1857803468208
2024-06-03 15:38:58+00:00,194.18,194.18,194.18,194.18,150,3,194.18
2024-06-03 15:38:59+00:00,,,,,0,0,
2024-06-03 15:39:00+00:00,194.18,194.19,194.18,194.19,1642,30,194.18001218026797
2024-06-03 15:39:01+00:00,,,,,0,0,
2024-06-03 15:39:02+00:00,194.19,194.2,194.19,194.2,1005,13,194.19800995024875
2024-06-03 15:39:03+00:00,194.21,194.21,194.21,194.21,700,4,194.21
2024-06-03 15:39:04+00:00,194.21,194.21,194.21,194.21,2576,15,194.21
2024-06-03 15:39:05+00:00,,,,,0,0,
2024-06-03 15:39:06+00:00,,,,,0,0,
2024-06-03 15:39:07+00:00,194.2,194.2,194.2,194.2,604,11,194.2
2024-06-03 15:39:08+00:00,,,,,0,0,
2024-06-03 15:39:09+00:00,,,,,0,0,
2024-06-03 15:39:10+00:00,,,,,0,0,
2024-06-03 15:39:11+00:00,,,,,0,0,
2024-06-03 15:39:12+00:00,,,,,0,0,
2024-06-03 15:39:13+00:00,194.19,194.19,194.19,194.19,70,1,194.19
2024-06-03 15:39:14+00:00,,,,,0,0,
2024-06-03 15:39:15+00:00,,,,,0,0,
2024-06-03 15:39:16+00:00,,,,,0,0,
2024-06-03 15:39:17+00:00,,,,,0,0,
2024-06-03 15:39:18+00:00,194.18,194.18,194.18,194.18,406,7,194.18
2024-06-03 15:39:19+00:00,,,,,0,0,
2024-06-03 15:39:20+00:00,194.18,194.18,194.16,194.16,901,17,194.1733629300777
2024-06-03 15:39:21+00:00,194.16,194.16,194.16,194.16,100,1,194.16
2024-06-03 15:39:22+00:00,194.15,194.15,194.15,194.15,538,8,194.15000000000003
2024-06-03 15:39:23+00:00,194.16,194.16,194.16,194.16,1,1,194.16
2024-06-03 15:39:24+00:00,,,,,0,0,
2024-06-03 15:39:25+00:00,,,,,0,0,
2024-06-03 15:39:26+00:00,,,,,0,0,
2024-06-03 15:39:27+00:00,194.16,194.16,194.16,194.16,1,1,194.16
2024-06-03 15:39:28+00:00,,,,,0,0,
2024-06-03 15:39:29+00:00,,,,,0,0,
2024-06-03 15:39:30+00:00,194.16,194.17,194.16,194.17,1163,15,194.1601031814273
2024-06-03 15:39:31+00:00,194.16,194.16,194.16,194.16,501,6,194.16
